Analysis	ctrl			NEK2			hCK1			XCK1			PLK1			Aurora A			
	max probability	total occurence		max probability	total occurence		max probability	total occurence		max probability	total occurence		max probability	total occurence		max probability	total occurence		
4				49.3	1													
5				49.8	2													
6				49.8	1													
14																		
18																		
25																		
27																		
39																		
45																		
55																		
59				100.0	14													
72																		
87				47.6	1		100.0	1		100.0	1		100.0	1		100.0	1	
91	91.3	1		92.1	13								90.8	2				
92	93.0	1		99.4	13								50.0	1				
125																48.5	2	
126																48.5	2	
131													15.0	1				
135	18.7	1		100.0	2								49.8	1				
141	66.7	9		47.5	6		33.3	4		33.3	2		45.1	5		47.6	6	
142	66.7	9		47.5	6		33.3	4		33.3	2		45.1	4		47.6	6	
143	66.7	7		33.3	3		33.3	4		52.4	2		33.3	3		45.8	3	
151	98.7	1																
153																		
155	98.4	2								86.0	1							
158	100.0	3		100.0	2		100.0	3		100.0	10		100.0	3		100.0	4	
169																		
170																		
179																		
183																		
192	84.2	1					70.7	1					43.8	2		11.2	1	
194	95.0	7		70.5	6		84.8	7		99.4	5		94.5	8		99.7	6	
195	49.8	3		49.9	6		49.9	6		18.9	1		88.3	5		87.0	2	
196	65.2	3		86.6	5		65.9	7		31.3	3		72.1	7		11.2	1	
197	30.3	2		71.3	3		44.4	6		86.3	3		43.8	5		68.7	2	
200	89.1	4		50.0	2		62.5	2		96.3	2		77.7	4				
201	88.7	4		92.1	3		29.8	1					88.8	3				
205	87.2	6		98.9	9		87.8	2		49.5	1		98.4	10		33.2	4	
206	49.7	11		82.2	14		46.9	2		88.5	3		83.8	13		87.7	14	
207	89.9	9		99.6	24		80.9	2		96.7	4		98.7	10		98.3	23	
211	100.0	30		100.0	42		84.5	4		11.1	1		100.0	8		100.0	27	
216				92.1	1		99.0	15		92.0	6		99.1	8		91.2	7	
218	11.5	1		41.7	1		98.2	13		90.1	3		92.3	5		91.8	4	
221	99.9	5		99.8	6		93.6	3					96.2	1		100.0	11	
222	100.0	15		99.8	21		95.2	4		48.2	2		91.8	3		99.6	13	
223	99.8	8		99.8	22		99.8	4		93.7	3		97.0	4		96.2	6	
224	100.0	3		100.0	9		99.5	2		86.5	1		99.8	1		99.8	4	
227	80.0	1					100.0	4		100.0	4		100.0	4		100.0	5	
228							99.7	3		100.0	8		99.9	6		100.0	3	
230										100.0	4		99.8	1		66.7	1	
250	47.6	5		99.4	8								40.6	1		38.2	3	
251	47.6	5		44.7	6								40.6	1		38.2	3	
252	32.6	4		92.4	8								29.9	1		38.2	3	
254	91.3	10		99.7	14		47.9	1					79.7	3		40.3	3	
255	92.0	7		99.1	13		47.9	1					38.6	2		40.3	2	
257	98.7	8		97.6	10								90.2	2		80.2	1	
259	49.3	3		80.8	10		33.2	1		45.1	1		88.7	6				
260	82.9	4		83.0	6		33.2	1		45.1	1		97.8	9				
262	99.0	8		100.0	19		100.0	5		100.0	9		99.9	12		99.9	12	
267																		
269													100.0	2				
275																		
281	100.0	2		100.0	16								100.0	13				
286	100.0	3		100.0	8		100.0	13		100.0	11		100.0	7		100.0	6	
295																94.3	3	
298	99.1	1		100.0	17		99.9	4		100.0	3		100.0	4		99.6	3	
329	100.0	1		100.0	2		100.0	3		100.0	8		100.0	10				
350																		
358																		
362																		
364																		
381				50.0	1								94.8	2				
383				50.0	1								50.0	1				
387																		
389																		
393																		
396													30.3	1				
397													30.3	1				
398													30.3	1				
400																		
401																		
403				43.8	2		49.5	1		15.7	1							
404	92.8	1		98.9	5		90.4	2		98.6	3		93.3	2		98.6	1	
406	47.8	1		94.2	6					99.8	3		14.4	1		92.4	2	
407	99.7	5		100.0	21		100.0	5		99.6	5		100.0	6		99.9	12	
